abuse_rate,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0,1.88268339447608,1.72547707608052,2.26591522093516,1.98479634788464,1.74130583239944,1.65928455087435,2.25229693352801,1.75496423142484,1.28811908662776
0.1,1.33846799798913,1.44126378440406,0.828016675027638,0.890858830648855,1.15116630398215,0.00785009960461877,0.307996912767231,-0.501369661989235,-1.62965073518822
0.2,1.53722695116877,0.961193533103673,0.681993807732279,0.574227025865845,-0.464372980739125,-0.649036338304336,-1.08891304401382,-2.62507508747437,-4.60629490758923
0.3,1.57092742080263,1.3891333526364,0.994610329745232,-0.453045339886445,-0.766579950731966,-1.90623369511184,-3.4854169252966,-4.16142858404114,-6.67688155173611
0.4,1.27919457941833,0.87867600562655,-0.155730701919521,-1.02700687011025,-1.05915293566478,-2.85976267706527,-4.4499099462661,-5.9750451497549,-8.1186884101718
0.5,0.651851613436508,0.957854163338414,-0.383294893896823,-0.77524429176237,-1.92569122052048,-3.26286149585535,-5.17238735317964,-7.58591004107452,-9.96644186839629
0.6,1.37032104551146,0.250356043414742,-0.265359027868021,-1.57980349930965,-2.83532879729805,-4.11171865876,-6.4339987184625,-8.63893400430026,-11.5713302132061
0.7,0.991492082341098,-0.105200533421695,-0.981222353231963,-1.69912117265535,-3.64060765544801,-5.09162879229695,-7.49415344485509,-9.39412563423572,-12.9032400957086
0.8,0.466322812241014,-0.259129871301094,-0.813885958269339,-2.17462419592615,-3.82168587682409,-6.01729273513959,-8.02600905627602,-10.7419175853028,-13.9009817914725
0.9,0.601476681489485,-0.103665174127507,-1.3538632465616,-2.47127368530526,-4.38495650095294,-6.67717493372946,-8.80271650175993,-11.458820562795,-15.0228400667508
