abuse_rate,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
0,0.38,0.4,0.4,0.28,0.32,0.52,0.39,0.33,0.44
0.1,0.32,0.36,0.38,0.4,0.47,0.56,0.62,0.7,0.94
0.2,0.38,0.46,0.54,0.57,0.65,0.7,0.85,0.98,0.98
0.3,0.54,0.49,0.51,0.63,0.62,0.89,0.98,1,1
0.4,0.44,0.44,0.59,0.77,0.9,0.95,1,1,1
0.5,0.48,0.55,0.63,0.82,0.96,0.99,1,1,1
0.6,0.39,0.55,0.72,0.89,0.98,1,1,1,1
0.7,0.53,0.48,0.71,0.88,0.99,1,1,1,1
0.8,0.47,0.64,0.87,0.97,1,1,1,1,1
0.9,0.47,0.64,0.83,0.99,1,1,1,1,1
1,0.49,0.68,0.88,0.99,1,1,1,1,1
