abuse_rate,q,theta,se_theta,p_underwater,mean_return,se_return
0,0.1,0.973136807766424,0.0315036609782315,0.38,0.548063536088155,0.309301651050657
0,0.2,0.957336639982289,0.0280734141603772,0.4,0.674187920928048,0.274868553210181
0,0.3,0.944076031280874,0.0281099760520853,0.4,0.825016045855438,0.29012907048364
0,0.4,0.887690191600797,0.0275598370420731,0.28,1.41947172744517,0.283859611023209
0,0.5,0.923586712890372,0.0282472847826343,0.32,1.0363271152346,0.290855978777043
0,0.6,1.03410457888051,0.0329158952058807,0.52,-0.034691696720222,0.315030012926484
0,0.7,2.42236343043109,1.50364864913015,0.39,0.672517334654171,0.491068473697767
0,0.8,0.93170613493693,0.0248121281858775,0.33,0.899704132677062,0.258121221328195
0,0.9,0.985531741946869,0.0252682666719217,0.44,0.333841409824969,0.253089702967747
0.1,0.1,0.942550645108789,0.0256932316909295,0.32,0.796825384434967,0.264258191938596
0.1,0.2,0.971917264776161,0.0280290657708961,0.36,0.497245345145679,0.271599750755668
0.1,0.3,0.950096624229881,0.0265627239079211,0.38,0.717549792108836,0.269766548209369
0.1,0.4,0.996134232960108,0.0286319625221269,0.4,0.280693856688513,0.276847289050914
0.1,0.5,0.987688453837589,0.0241797932610387,0.47,0.2979758295091,0.243928493250542
0.1,0.6,1.07125558766009,0.0272988239624913,0.56,-0.501953660447398,0.259759663369302
0.1,0.7,1.13358709527383,0.0287652778943841,0.62,-1.09216350554998,0.2680154769462
0.1,0.8,1.2050488513233,0.0300808839568291,0.7,-1.72172963974961,0.26104898839721
0.1,0.9,1.34316061791222,0.0274030651691117,0.94,-2.99585658644037,0.225800057559256
0.2,0.1,0.960452548610542,0.0306209717698499,0.38,0.693452501074682,0.308138829675112
0.2,0.2,0.975588669001875,0.0273747219826274,0.46,0.464019148381494,0.273727099457494
0.2,0.3,1.07583847008976,0.0371748833652059,0.54,-0.420873671667269,0.323152956870507
0.2,0.4,1.08129473672737,0.036408276592723,0.57,-0.492670899837473,0.307390217332524
0.2,0.5,1.09306978711438,0.0265265945308136,0.65,-0.728745507679384,0.24985407973241
0.2,0.6,1.16944657518393,0.0276657945583511,0.7,-1.41176364844308,0.247519170482521
0.2,0.7,1.34968797388021,0.0344333488935739,0.85,-2.93078363320287,0.267388262034565
0.2,0.8,1.47052019687801,0.0262054634878959,0.98,-4.0067475618365,0.199719183040903
0.2,0.9,1.74743348682184,0.0574399505920867,0.98,-5.89069566041127,0.27741088336137
0.3,0.1,1.04068660348451,0.0301350602977899,0.54,-0.16384898247474,0.283520072692228
0.3,0.2,1.05084574793997,0.0327714636821233,0.49,-0.224100937453797,0.292894706463715
0.3,0.3,1.09115297678118,0.0448080167245732,0.51,-0.480199324402789,0.346219146684982
0.3,0.4,1.10446013608204,0.027270247409994,0.63,-0.816413542712895,0.250083744012585
0.3,0.5,1.15124897585279,0.0301311258010173,0.62,-1.21822160387606,0.260001664414168
0.3,0.6,1.36903364538289,0.0413393762180847,0.89,-3.0105644757317,0.273626328257777
0.3,0.7,1.47604964739435,0.0265249426921579,0.98,-3.99288114971283,0.201319067669618
0.3,0.8,1.7438330743561,0.0403602986950506,1,-5.87688780821783,0.247943097446141
0.3,0.9,2.13022623130691,0.0316035382296426,1,-8.47590319346773,0.176698705160992
0.4,0.1,0.976513450640619,0.0357741238105345,0.44,0.57160475266741,0.322203320514836
0.4,0.2,0.997191225300532,0.0239108970235445,0.44,0.180567043700234,0.227802874095054
0.4,0.3,1.07682001915369,0.0277263227395106,0.59,-0.549552243464201,0.251866587595109
0.4,0.4,1.25129172379675,0.0289031529924736,0.77,-2.07211543931943,0.243426204975017
0.4,0.5,1.34473820508706,0.0294859531217853,0.9,-2.86908084121779,0.238129795832102
0.4,0.6,1.51284101454348,0.0430778726069982,0.95,-4.11929729543564,0.264745602611773
0.4,0.7,1.67697156357324,0.0299229105215884,1,-5.41655065648189,0.200359105344325
0.4,0.8,1.99369840476452,0.0356319004459033,1,-7.506537066943,0.215265905000699
0.4,0.9,2.55212343785452,0.0350868656979251,1,-10.6870237051833,0.170117317760075
0.5,0.1,1.02693349295691,0.0324951922869244,0.48,0.00208692977531112,0.313790209395692
0.5,0.2,1.08184257847207,0.0328750752457934,0.55,-0.524308690679216,0.293691331785631
0.5,0.3,1.14080367479602,0.0309917693081861,0.63,-1.08813993027098,0.261081924461769
0.5,0.4,1.47678481458324,0.207656112639567,0.82,-2.5319331672575,0.396731628859983
0.5,0.5,1.45132380183662,0.0266177395177843,0.96,-3.69931071966086,0.19874564035733
0.5,0.6,1.62494521500045,0.0331653953990582,0.99,-4.95481157252047,0.231220197159512
0.5,0.7,1.84636565746508,0.0272525331029967,1,-6.54278858327645,0.173384621591064
0.5,0.8,2.27449221120984,0.028823709535251,1,-9.11777725277645,0.158728132023147
0.5,0.9,2.86928059042534,0.0356886454010365,1,-12.0979379356376,0.152832439083644
0.6,0.1,0.959982343535728,0.0259708122844642,0.39,0.581325599764041,0.260868189533855
0.6,0.2,1.07404914514196,0.0350000868432713,0.55,-0.444310977795603,0.288543926741235
0.6,0.3,1.23209166239468,0.0331341989101644,0.72,-1.87083763958338,0.263217053112177
0.6,0.4,1.30129925319756,0.0276350114308988,0.89,-2.49056782583452,0.220459993323557
0.6,0.5,1.52273638454132,0.0280057115494716,0.98,-4.19224037747446,0.20710526100832
0.6,0.6,1.75449469392382,0.0304177346918753,1,-5.81212853750006,0.199662548781197
0.6,0.7,2.053285747439,0.0305506733614384,1,-7.73552757624493,0.17090379115431
0.6,0.8,2.46476914319629,0.0301702993578113,1,-10.0243607763808,0.149376194740261
0.6,0.9,3.28920246100141,0.0622039236062128,1,-13.7195042684555,0.173934861864364
0.7,0.1,1.01747229915232,0.02586768965136,0.53,0.00292304712265115,0.249114318319295
0.7,0.2,1.05062164164375,0.0287130853817223,0.48,-0.275853693060597,0.264388251084556
0.7,0.3,1.19787869506853,0.0300469384358329,0.71,-1.58782422073802,0.247247589794935
0.7,0.4,1.40755101980626,0.0333600861448697,0.88,-3.23995889084088,0.25002463350256
0.7,0.5,1.5937653454733,0.0337220176046509,0.99,-4.61555242673156,0.234134572594813
0.7,0.6,1.92387118428973,0.0439248853234124,1,-6.79287257482805,0.229151496227554
0.7,0.7,2.22904645815207,0.0302987800582446,1,-8.66726059120461,0.164909885232039
0.7,0.8,2.7246069232831,0.0323794918080869,1,-11.2425532843325,0.14766179148288
0.7,0.9,3.67015022981626,0.042063911352857,1,-15.0569294395361,0.137050761894945
0.8,0.1,0.971998192115376,0.0262800636755399,0.47,0.468272754243554,0.258667609713633
0.8,0.2,1.69186405135995,0.555081028928679,0.64,-1.45474965919016,0.427230272066453
0.8,0.3,1.30034421269937,0.032658573571781,0.87,-2.40958483212651,0.237931203211403
0.8,0.4,1.45255888472632,0.028960097906667,0.97,-3.59497936650677,0.210465762846195
0.8,0.5,1.66047427011684,0.0277205709996531,1,-5.08261901750388,0.185530939904046
0.8,0.6,2.01698459254678,0.0344941847244475,1,-7.31911378538911,0.202967804675624
0.8,0.7,2.43730137859269,0.0320705439937306,1,-9.68769489905244,0.162072666284945
0.8,0.8,2.95010972224745,0.0393253427609379,1,-12.0832766898332,0.162422158165428
0.8,0.9,4.11443209876036,0.0441931633193633,1,-16.4037614365584,0.131640450288112
0.9,0.1,1.01488471059121,0.0282678747356167,0.47,0.0729637183150188,0.273510087540843
0.9,0.2,1.14186819438977,0.0288406248377796,0.64,-1.11226208749457,0.242791958143814
0.9,0.3,1.29935441275582,0.0289950631285848,0.83,-2.40741381436198,0.226484884266812
0.9,0.4,1.47950519300891,0.0290301190472687,0.99,-3.76216235696033,0.205403609285243
0.9,0.5,1.78459348500066,0.0302316847552014,1,-5.8248618692498,0.190462687442263
0.9,0.6,2.11844751165861,0.0488437251332816,1,-7.76436794731812,0.223060043176392
0.9,0.7,2.59141058556605,0.0444074126747475,1,-10.3014214254823,0.188611673032137
0.9,0.8,3.21475939844025,0.0343610076770278,1,-13.123363081801,0.132758660696018
0.9,0.9,4.41754829637813,0.0380960209668347,1,-17.2079622805841,0.109123428989664
1,0.1,1.037755020462,0.0299896637386322,0.49,-0.144602151781202,0.273751416204214
1,0.2,1.21438276959715,0.068997633930287,0.68,-1.38143692746072,0.355431056100097
1,0.3,1.36751598956711,0.0331812764584581,0.88,-2.88034854368456,0.246679585941368
1,0.4,1.50886957477343,0.0276928578694686,0.99,-3.93873102702283,0.196202006930224
1,0.5,1.92894633433849,0.051938524989081,1,-6.5484854953378,0.246247968698698
1,0.6,2.20386228061466,0.0321991134154234,1,-8.24787369127821,0.174304285287527
1,0.7,2.76728397014047,0.0417875326012273,1,-11.0423174711881,0.182185933634959
1,0.8,3.50136287890562,0.0407405406480677,1,-14.073747994532,0.143798304948614
1,0.9,4.89445859304523,0.0361903287023046,1,-18.3710581773495,0.0922121036202382
