abuse_rate,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0,1.79029850972579,1.44307370361951,1.41471599501361,1.45247141260418,1.72119756354363,1.69613690217656,1.96499797537911,1.666181637215,1.92551944434133
0.1,1.60992822021633,1.21755087093758,0.321045327935988,0.904452343438148,0.930887045945852,-0.294242780579962,-0.0929297727938018,-1.07950187366507,-2.08079029517573
0.2,1.65642599876822,0.531773392750782,0.571619325500961,0.242541237803048,-0.582950231021594,-0.685886640519603,-2.20787306180253,-3.49031939714083,-5.03980426411359
0.3,1.64227062743762,1.18419224749005,-0.00281379150193375,-0.188198850276312,-0.580370839699772,-1.95238064841137,-4.191118369505,-4.56565648069322,-7.34496203074017
0.4,1.03865199028981,0.406178233748869,-0.156916935142318,-1.14935021535725,-1.50779615210138,-3.38339958912751,-4.40888023181438,-6.64055304685393,-9.18141991228029
0.5,0.558224647732478,0.555325699021671,-0.530456662634279,-1.07994934642607,-2.40536950250189,-4.13715735904075,-6.07325443090451,-8.35659454396612,-10.9567534894014
0.6,0.935479748165669,-0.534658528586039,-0.875412028708434,-1.64649382182698,-3.07143579509568,-4.90972233465562,-6.67220463117738,-9.27961951095715,-12.5605930975229
0.7,0.788123217004175,-0.31402432477609,-1.06153868399826,-2.32130262565203,-3.49608364595619,-5.82883438989123,-7.90526568661378,-10.0035740395683,-13.8333639766864
0.8,0.277269970877296,-0.614715138474485,-1.39720382387861,-2.68222176770509,-4.35835191772374,-6.071182216681,-8.64465210725649,-11.5826325718957,-14.883163390903
0.9,0.743954440021874,-0.22021456343143,-1.36140715180214,-3.02464647712112,-4.96054380458756,-6.78472591931072,-9.28541356062948,-12.2161742319022,-16.2226414236328
