model,k_factor,history_size,usage_rate,mean_profit,sd_profit,mean_pct_return,max_loss,win_rate
trip-specific,1,2,1,-0.536112802687024,27.6847544691294,0.00177061337885542,-130.69636923596,0.65
trip-specific,1,2,0.9,1.44467430956202,25.8203565629461,0.354413537976064,-112.747504058353,0.68
trip-specific,1,2,0.8,3.84492559686328,23.9468671734392,0.871788514393004,-103.120157279002,0.7
trip-specific,1,2,0.7,6.32461396249954,20.7488268319457,1.49292739246344,-100.682192068151,0.72
trip-specific,1,2,0.6,8.53679433194595,19.4912348281742,2.32131121912752,-100.682192068151,0.75
trip-specific,1,4,1,1.83810050438178,31.0712820103936,-0.12138669984543,-193.653230473055,0.67
trip-specific,1,4,0.9,4.69034842213802,27.9718954196759,0.378488797212488,-172.953326217354,0.72
trip-specific,1,4,0.8,6.90812040873741,26.0510566850803,0.888637979941233,-151.919686397119,0.73
trip-specific,1,4,0.7,9.5161633834188,23.7392596680842,1.61558357247625,-130.040932536035,0.79
trip-specific,1,4,0.6,11.6310844875422,22.117016383374,2.4807590006923,-109.479678025198,0.85
trip-specific,1,6,1,-3.32053353806105,36.3560847918823,-0.391855740366567,-210.491759559598,0.66
trip-specific,1,6,0.9,-0.730022354619908,32.9124196782563,0.0113879416403663,-185.789258612144,0.7
trip-specific,1,6,0.8,1.80231340568613,30.0945733645226,0.519416877109704,-166.796569720471,0.77
trip-specific,1,6,0.7,4.71404577811087,27.0376037968843,1.24026843562096,-148.23008985769,0.84
trip-specific,1,6,0.6,6.97304182091988,23.9159012427938,2.03923986862161,-126.649604018011,0.9
trip-specific,1,8,1,-1.96098859050629,45.3358694501837,-0.305385138408705,-258.273216865748,0.64
trip-specific,1,8,0.9,0.540659875580437,41.3898489067856,0.0845646527431686,-231.111166137688,0.68
trip-specific,1,8,0.8,3.48560012881072,38.0084869894814,0.630549358097331,-200.937795549381,0.71
trip-specific,1,8,0.7,6.22583421932967,34.1560428421537,1.31463408188811,-172.830498078995,0.8
trip-specific,1,8,0.6,8.67037730379974,30.5711660060908,2.1887552642447,-148.239496604752,0.88
trip-specific,0.9,2,1,0.783431760233324,38.9381185612934,0.230127105720913,-155.194622480363,0.56
trip-specific,0.9,2,0.9,7.35282171613354,36.4567657600146,1.35304010231748,-124.614787746077,0.68
trip-specific,0.9,2,0.8,14.764923087518,34.5744244924892,2.89189230518532,-107.887434115161,0.73
trip-specific,0.9,2,0.7,21.8029517122079,31.8901122429257,4.7570728194062,-88.9613367892736,0.78
trip-specific,0.9,2,0.6,28.7183753917191,31.0944556592233,7.26691784657705,-86.7486679115012,0.87
trip-specific,0.9,4,1,2.36109018948957,42.1018092167864,-0.1704471511379,-205.37623355184,0.51
trip-specific,0.9,4,0.9,10.1745113320199,39.0579987529568,1.14965518868035,-180.720704325267,0.69
trip-specific,0.9,4,0.8,17.0826082470862,37.2814281557307,2.62411249459884,-155.731439534161,0.76
trip-specific,0.9,4,0.7,24.3128640637993,34.9465262623028,4.57440042242333,-129.897060702206,0.86
trip-specific,0.9,4,0.6,31.2929568352968,34.0253878752,7.1309109598653,-105.380181220498,0.94
trip-specific,0.9,6,1,-4.37063124716912,43.9426084437918,-0.551823371062812,-225.129236282413,0.55
trip-specific,0.9,6,0.9,2.85294328419154,40.0703000469291,0.630704601008254,-195.187414232979,0.66
trip-specific,0.9,6,0.8,10.3309540878392,36.9634163211081,2.16170226675158,-170.955404239326,0.82
trip-specific,0.9,6,0.7,18.0590862381939,33.874910007754,4.19744891429052,-147.149603274565,0.89
trip-specific,0.9,6,0.6,24.9696946469609,30.7199987266567,6.70632870715636,-120.329796332906,0.92
trip-specific,0.9,8,1,0.415553096666818,57.4697510317966,-0.0841429233965994,-278.295727874821,0.55
trip-specific,0.9,8,0.9,7.68651899365806,53.3123329981327,1.09744428250675,-243.314448372103,0.66
trip-specific,0.9,8,0.8,15.3521260746908,50.1639482197804,2.64368771265047,-205.32184900914,0.74
trip-specific,0.9,8,0.7,22.8511074688282,46.6177608824636,4.59983973406973,-169.395322764096,0.91
trip-specific,0.9,8,0.6,30.2696360418365,43.9270098538495,7.21630467332173,-136.985092515196,0.94
population,1,2,1,10.8616127632109,32.0907445438223,2.15370163885545,-86.7853339687891,0.77
population,1,2,0.9,12.6522724537981,29.8587086958068,2.68679886535559,-84.8840623734735,0.8
population,1,2,0.8,14.8068892302177,27.2485974174701,3.4042154237998,-75.2156178446202,0.81
population,1,2,0.7,17.2834636288219,24.0535588263706,4.35949177869202,-75.2156178446202,0.82
population,1,2,0.6,19.3240794602891,21.8169109693518,5.57419560620226,-75.2156178446202,0.85
population,1,4,1,9.62090832134547,36.1928484572071,1.71195441413334,-199.518015036523,0.78
population,1,4,0.9,12.5701109264152,32.7032740987459,2.38741046327525,-177.445114056169,0.82
population,1,4,0.8,14.8080373885236,29.5553875165034,3.09550001837455,-155.038477511281,0.85
population,1,4,0.7,17.4248565325706,25.8330853870802,4.08469215569761,-131.786726925544,0.88
population,1,4,0.6,19.7917350648058,22.6286762892772,5.33174382274915,-109.852475690055,0.89
population,1,6,1,10.5724800927167,36.6414169889164,2.07025360373497,-157.213276890246,0.83
population,1,6,0.9,12.8224791903901,33.2420351462568,2.66856545082255,-136.533794237039,0.85
population,1,6,0.8,14.9937184100777,30.2300197072834,3.42297181454101,-123.762642625752,0.85
population,1,6,0.7,17.5449607159838,26.6275162610214,4.4586935264005,-106.407283874935,0.86
population,1,6,0.6,19.5327987350967,23.5571469441771,5.70926508672757,-88.645356930788,0.88
population,1,8,1,10.9093984601979,46.9691201815641,2.13189230804651,-238.664820258087,0.79
