tripID,premium_trip,eta_min,distance_km,duration,distance,real_price,strike,premium_pop
23,0.134506774859986,17.0407067545195,17.519908,937.61,17519.908,23.7822355333333,24.220536293901,1.08626409539111
35,0.361860373262954,18.6031410966042,20.907165,992.08,20907.165,27.1121951666667,27.7534222399473,1.01900604647056
38,0.244795586222123,14.6865708886009,16.872717,806.76,16872.717,22.5237053,22.9082822754663,1.04190791826389
41,0.140251889481153,19.0378518575913,28.414835,1029.3,28414.835,34.0614015,34.6450855758533,1.12887876219315
51,0.174045033334729,15.896263120099,17.378406,953.47,17378.406,23.7368270666667,23.7384069672307,0.979647220728549
57,0.323758952526422,12.6431167072041,13.428532,938.76,13428.532,20.1059388,19.1750449792333,1.03433030556419
68,0.312442322370201,15.6329101279448,8.808111,818.2,8808.111,15.3246665666667,15.9435020396629,1.02669676724729
80,0.58963787968677,34.2190418497513,46.055647,1725.8,46055.647,53.5367156333333,55.2279852734229,1.33334953855695
86,0.365790533752028,5.14021138636843,3.030972,363.82,3030.972,7.77761146666667,7.49134032977421,0.663718325578999
87,0.371390089963245,20.9368029205519,17.884607,1175.13,17884.607,25.3376513,25.7565552053711,1.22254990392435
95,0.781818904759572,14.7852633354099,15.621107,772.95,15621.107,21.2225713,21.8124279339771,1.04190791826389
111,0.424439600804836,28.8327900612531,31.48006,1687.53,31480.06,40.220959,40.4402189189885,1.1077763638629
118,0.410062490260165,26.2113407324097,14.142201,1773.38,14142.201,25.0604442333333,24.023496527047,1.32149730749067
120,0.320172857114441,33.639892686264,37.470004,1881.26,37470.004,46.6128469333334,47.3213703327419,1.55149545834629
131,0.607138481689805,20.5450269239704,10.464228,1240.55,10464.228,18.9973135333333,18.9567635464308,1.36829038101015
133,2.02769611901108,36.898967267596,18.533806,1046.51,18533.806,25.2573937333333,31.2891052529548,0.904495613526603
137,0.371879528926215,38.1564212799967,30.57393,1920.1,30573.93,40.6070536666667,42.515027596799,1.54641689984838
138,0.415836661783575,20.6153678074853,18.721301,984.440000000001,18721.301,25.1054442333333,26.4099349203204,1.06431710384567
141,0.856195329121344,28.2804229179678,17.839718,1189.58,17839.718,25.3719095333334,27.99267730457,1.15641643721483
158,0.645412102372238,34.3010931262497,27.930515,1667.63,27930.515,36.9235518333333,38.9408023691374,1.40795918644407
164,0.677923643866567,46.9357240937429,38.578032,3419.24,38578.032,55.5563021333333,52.4403032690603,1.55655744718968
174,0.389700115852755,21.3889480824764,18.099303,1083.08,18099.303,25.0552860333333,26.0899466055677,1.22254990392435
181,0.303296222579968,20.7228137054649,19.119203,1309.61,19119.203,27.1436010333333,26.8013549486941,1.16319899647185
192,0.728764865414578,52.2230006890319,59.630022,2623.4,59630.022,70.3912531333333,73.0261500135999,1.47880936885539
202,0.262279834621917,17.8791172859279,19.05716,1020.34,19057.16,25.5932006666667,25.8639703586376,1.02669676724729
207,0.19481655088339,2.83381216315859,1.866384,897.61,1866.384,9.48739726666667,5.72822737057916,0.532158551922834
208,0.443745848301831,27.8332020280256,20.655677,1657.34,20655.677,30.3230326333333,30.3884019286879,1.18994269690731
210,0.301218937487381,11.577687957464,5.387604,737.07,5387.604,11.8270386,11.6079268668138,0.895756320522712
214,0.777680598801502,35.3291771731354,21.554128,2266.83,21554.128,34.2806702,33.520760123672,1.46813190522838
216,0.505971176422398,35.7136799642343,32.567136,2819.64,32567.136,47.0485624,43.5516631889126,1.39674020935437
225,0.325904560365165,12.6452787498135,8.143526,801.49,8143.526,14.6402050666667,14.4192098124422,0.88693091987139
250,0.355025764518137,31.7692410934599,21.695002,1868.25,21695.002,32.3481268,32.5439665389726,1.22896753281684
