tripID,realized_secs,simulated_secs
23,937.61,1065.49452994163
35,992.08,1121.94207579159
38,806.76,901.185900431654
41,1029.3,1162.97764381846
51,953.47,995.600598371854
57,938.76,771.070992810127
68,818.2,918.614846497351
80,1725.8,2070.21639229729
86,363.82,311.089418859193
87,1175.13,1125.10364761954
95,772.95,836.084160047671
111,1687.53,1792.80994351929
118,1702.16,1488.11675912481
120,1881.26,2002.50238791253
131,1240.55,1610.37820142818
133,1046.51,1648.47029254339
137,1920.1,2312.44855757334
138,984.44,1221.96317312413
141,1160.08,1618.90520272788
158,1667.63,1960.67238215828
164,3419.24,2730.66116857688
174,1083.08,1216.68790112267
181,1309.61,1289.01658319941
192,2542.4,3044.13395068024
202,1020.34,1047.36668797756
207,897.61,462.593972781925
208,1657.34,1644.35808975493
210,737.07,739.660504388834
214,2179.32,1945.69658548066
216,2819.64,2150.19645967098
225,801.49,687.516152663276
250,1868.25,1887.36572585036
256,2502.34,2014.54828432948
258,2814.13,1804.74093127363
263,644.88,688.843712293356
265,1512,1164.13887177054
284,1296.68,1096.97966499479
296,365.31,490.981870789633
298,1883.47,1751.82717132599
312,1527.04,1256.89356345195
347,2112.27,1876.50603124705
350,976.28,1089.54939068861
352,1721.93,1803.09429830238
377,2090.93,2188.64891117368
378,984.35,839.19287986568
383,1393.07,1412.12683190785
385,510.21,543.957530292336
417,2892.39,2530.07425503616
447,1282.73,1044.6355437033
473,2041.98,1953.22034692261
474,1594.2,1615.72209680981
479,2873.09,2421.57619460554
485,2600.58,2338.70239115037
509,2293.76,1925.5868964247
517,1101.56,1158.76507015061
520,1859.55,1744.65135492684
546,1820.77,2045.38159596181
561,1412.33,1426.54510978765
570,1728.65,1543.27174202859
577,2330.02,1885.20189918879
585,1667.09,1447.64557780703
600,2490.63,2368.16214326736
606,1791.9,1756.35228192055
618,1285.56,1088.21624198823
623,1308.32,1032.75797209836
625,1624.2,1679.01329848351
629,1431.04,1580.90238589797
633,1427.34,1268.88714690984
645,2086.78,1599.56410529095
661,1154.28,1044.16746263905
674,2473.45,2287.541179957
700,1128.23,1011.8545377412
704,1674.59,1392.83226089181
760,662.27,850.624363921862
763,2085.15,1813.681574536
772,1504.75,1728.06138651579
786,777.92,609.367535461713
790,1238.07,1330.3576666166
793,1574.94,1556.97928423595
801,573.32,642.547472161224
811,1320.96,1240.14075393524
816,1262.46,1387.97725908537
827,276.4,388.583858507125
845,1621.26,1572.59979955046
854,1951.03,1843.93209563818
861,1975.66,2226.11165798479
866,1502.28,1698.89979740033
902,705.89,879.287502614127
930,113.21,185.663875942166
934,3249.15,1902.42354503201
936,1448.47,1824.05418868195
946,1134.94,1446.03874670912
957,748.45,836.758755695101
959,615.11,653.950505121223
971,584.58,680.33809974871
981,1855.74,1944.09195988582
995,1702.54,1748.27020425682
1003,3970.5,3474.57444390551
1006,1883.02,1833.28006418808
1017,2317.36,2208.96602960767
1041,1695.07,1697.45414955608
1046,1291.53,1084.05573467494
1047,700.35,750.850328133178
1073,1071.59,1232.12223175527
1078,641.99,562.018437672185
1083,969.55,938.801441607376
1086,519.28,492.270945655673
1100,1889.87,2612.47365231085
1106,1017.69,1462.93004765074
1111,2216.29,2785.99558728666
1113,1223.26,1584.32308588617
