tripID,realized_secs,independent_secs,first_secs,second_secs,full_secs,population_secs
23,937.61,1069.0339431085,1066.16648935222,1064.37364903027,1065.49452994163,919.733264234346
35,992.08,1123.70769274073,1127.19891232651,1135.59973257615,1121.94207579159,907.729407800636
38,806.76,902.032831453699,902.645179891052,903.954235018217,901.185900431654,809.753096480909
41,1029.3,1160.62714648977,1160.96152272746,1159.34190530391,1162.97764381846,1137.33623897147
51,953.47,1001.53208689459,998.405567114056,998.861794878967,995.600598371854,1044.21725508006
57,938.76,766.174033790053,772.167175866685,768.623128654029,771.070992810127,898.817559407364
68,818.2,922.839802915975,922.20903442181,925.907641495508,918.614846497351,858.448736980616
80,1725.8,2114.14929667572,2158.40831910128,2086.56617109884,2070.21639229729,1986.65508450597
86,363.82,311.859169493141,309.339909150265,310.288595650681,311.089418859193,381.357211595329
87,1175.13,1126.87879620716,1125.82923232844,1126.37563682248,1125.10364761954,1124.49832818765
95,772.95,822.88515866742,835.354387445064,835.441556599747,836.084160047671,888.725066251128
111,1687.53,1783.1257012648,1764.85745299954,1793.59659472417,1792.80994351929,1984.68156811047
118,1702.16,1491.79865369414,1489.44230556246,1495.68734458686,1488.11675912481,1799.86811703572
120,1881.26,1998.91755278674,2001.68071995769,1999.74859832019,2002.50238791253,1735.12534680954
131,1240.55,1616.65852235559,1622.10351094441,1618.58491213032,1610.37820142818,1542.67749634369
133,1046.51,1645.04850570585,1670.57376179808,1652.08280957534,1648.47029254339,1057.7726407985
137,1920.1,2314.80125019298,2312.5580197909,2301.49779725981,2312.44855757334,1945.97970603532
138,984.440000000001,1219.02670646795,1220.77102543196,1221.67968837822,1221.96317312413,1015.93366877603
141,1160.08,1608.58836268461,1618.13543833682,1633.44376829843,1618.90520272788,1234.38275844327
158,1667.63,1962.27455779744,1959.48548296011,1956.78053546246,1960.67238215828,1400.67300855943
164,3419.24,2715.60624882876,2735.44876178153,2748.21785538885,2730.66116857688,3721.86088329408
174,1083.08,1210.41090317983,1209.3890419857,1219.14384931074,1216.68790112267,1099.4489612021
181,1309.61,1295.46357994835,1296.04453935358,1290.80471427414,1289.01658319941,1447.46898225045
192,2542.4,3033.74387286463,3029.10252364604,3018.60487807692,3044.13395068024,2461.5880865799
202,1020.34,1051.40520289576,1047.57576996518,1048.54847198509,1047.36668797756,991.567197104902
207,897.61,482.962834758535,479.151590935135,482.641431696805,462.593972781925,163.798001005199
208,1657.34,1642.8743726388,1651.32844321946,1655.56778299433,1644.35808975493,1710.97045374246
210,737.07,760.46114892083,751.642915271905,758.239894770555,739.660504388834,753.79741975971
214,2179.32,1945.95443555295,1948.23330977928,1960.59880812046,1945.69658548066,2219.23338808449
216,2819.64,2134.02465463252,2135.97823095422,2148.33797928352,2150.19645967098,3195.38754954021
225,801.49,690.874931220979,681.639261763506,695.352199318113,687.516152663276,869.739622561887
250,1868.25,1904.19836565099,1903.57115216373,1901.98114358284,1887.36572585036,1924.53895209419
256,2502.34,2015.89495175918,2004.831355239,2008.3856037775,2014.54828432948,2608.08961132883
258,2814.13,1792.49659354324,1791.24371820895,1794.70652709075,1804.74093127363,3210.03135435389
263,644.88,690.175556871935,683.212662968352,685.539187001714,688.843712293356,820.603863536795
265,1512,1174.53606224042,1164.32722345359,1167.9264257373,1164.13887177054,1449.7662338926
284,1296.68,1099.71390664769,1103.04792140635,1090.54605805321,1096.97966499479,1143.79072341031
296,365.31,504.082857936601,494.00908281455,486.972340688398,490.981870789633,379.046561964106
298,1883.47,1755.04870769842,1747.04051863097,1748.87329105792,1751.82717132599,1955.47340711321
312,1527.04,1248.14537132487,1251.16187328982,1251.231605133,1256.89356345195,1189.07711973513
347,2112.27,1881.40129133721,1861.47067565369,1876.99130153217,1876.50603124705,1742.74986735497
