tripID,Realized,Normal 0.05,Normal 0.50,Normal 0.95,t 0.05,t 0.50,t 0.95
23,937.61,1065.18854191735,1053.88192853912,1310.39349124771,962.723212856125,1076.06612887394,935.854686572405
35,992.08,1098.10175996049,1100.93431022217,1157.60649783838,1007.45534100135,1123.9058642047,856.911693784153
38,806.76,787.979807361808,950.118335207337,985.909201827088,917.663891240011,962.753313694517,801.86210033154
41,1029.3,1080.88072035144,1153.1815287732,1100.5946297685,1228.35884522752,1165.21077160166,1027.83731637076
51,953.47,905.234103883076,994.944102552672,1553.95479088605,947.513303280753,921.019437842158,982.426506191395
57,938.76,780.509237152596,798.408385909563,746.43814484771,786.124640409732,716.543309488657,723.956434350602
68,818.2,902.742692585695,982.455159854609,893.546158939475,783.32189469633,803.814083596548,902.442818723388
80,1725.8,1956.22989423984,1769.50769739802,1828.68884579993,1916.81325071292,2010.51265510973,2354.64621164524
86,363.82,260.881968510981,263.513262783597,245.940620013178,317.38947208061,317.865326630063,287.244019740167
87,1175.13,1154.81875542419,1186.592470485,1332.00416985993,1048.80328683863,1128.29569498422,1158.14515327498
95,772.95,863.201087740652,721.352941304306,851.566993133648,746.779925592432,764.244000434757,814.855974666544
111,1687.53,1791.63263479298,1463.09223935293,1705.40214056166,1727.27864779239,1567.39499991501,1446.43239933075
118,1773.38,1683.98873370045,1782.18017518317,1342.6776413369,1420.12006938025,1699.48560233519,1683.37366272167
120,1881.26,2265.44553233648,1806.34414249532,1950.96967779554,1984.72893724056,1669.17434753653,2383.63260257887
131,1240.55,1659.271586462,1298.08234650878,1922.45922782143,1814.42404867763,1268.65452207849,1407.59480208768
133,1046.51,1154.57941475553,897.857388975516,1002.13481715925,1102.31321132957,910.766304154985,908.672403873157
137,1920.1,1978.11971253513,1992.97254489767,2163.20576163283,2157.77732533353,2092.19608104885,2254.82362370854
138,984.440000000001,1371.95352991779,1328.31342236327,1377.94163422662,1133.22165121231,1497.53089819453,1571.61206200756
141,1189.58,1246.40995908304,1281.72404591815,1319.56806808995,2808.25117766167,1283.02397318501,1170.13378788736
158,1667.63,1756.52840934497,1877.9362450601,1410.27224991683,2092.97500803207,1960.1060855291,3906.92818475982
164,3419.24,2777.39099487543,2907.8683147363,2454.196748391,2557.00492157886,2697.14206667216,3162.84771191481
174,1083.08,1223.79996753363,1065.81273443776,970.750788363801,1147.40034111944,1227.08151004987,1046.63333497984
181,1309.61,1371.5225334598,1607.94349650479,1125.33476223562,1283.70744863156,1159.47963367738,1125.41164413895
192,2623.4,3083.9270976275,3368.99361224323,2903.31327814209,3149.85053417457,3012.25469127515,3300.05471923558
202,1020.34,1066.0038429133,1037.26367621227,893.189893902518,983.341672857208,1085.63423865726,982.904359426264
207,897.61,713.864204449077,713.561241353233,948.078075828045,879.889207059096,729.962717527473,519.562626072733
208,1657.34,1435.14193526719,2013.85338264688,1380.17106652924,1801.79379031744,1618.63327301102,1895.76335226688
210,737.07,992.194220090288,785.978378112383,470.776791581165,645.143379666258,1023.87199927557,715.419919944196
214,2266.83,2161.81818799412,2410.05383092604,2112.21501474081,1989.21833565904,2129.67139876149,2089.89634056967
216,2819.64,3008.0581422928,2597.30317127123,1911.68160150005,1938.63948645354,2329.97856620367,1943.29449641128
225,801.49,547.60885381644,660.64782058016,639.528154504033,438.833951923859,519.212423129552,599.542643851272
250,1868.25,2003.05683917851,1983.99783703908,1696.62310716934,1784.19050394286,1860.35443301736,1437.34811683842
256,2502.34,1815.57129482726,1698.01247679734,1945.61278651295,2053.72039048612,1858.87499888808,1622.61973133663
258,2814.13,2080.7474179463,1961.92833643197,1794.73032640985,1967.78404959392,1617.66782763231,2652.75631917323
263,644.88,651.173202113145,624.317126473185,589.818894661183,612.979262270797,606.79818755026,840.951049479248
265,1512,866.49622127289,1672.59665135335,1539.57967993485,1070.58905484647,2067.13652434306,747.843779535166
284,1296.68,828.716614593509,992.985411945659,2145.5724857458,1172.14773818639,1179.24571329042,5042.15184900512
296,365.31,539.948814157118,767.087805531585,776.101410546116,571.216710681258,562.720757655532,420.157734971367
298,1883.47,2132.6260039595,1350.3960157208,1524.63901558769,1395.35894126892,1938.36815695829,1244.38236832606
312,1527.04,1225.81909933051,1097.95986566853,1245.88213407258,1214.93810230997,1262.68337199547,1218.66365699818
347,2112.27,1850.54422543843,2007.31278824596,1727.93555550054,1718.9507926146,2061.82398540929,1767.14203264774
350,976.28,685.099320225213,1212.04264651742,1113.45683450737,898.698012106298,710.514393154478,1460.40032314056
352,1721.93,2037.67263701374,1824.50929427158,3199.52773018515,1834.07435128665,2381.52810512219,1716.11767666873
377,2090.93,1507.27806458515,1840.70359855005,1398.87053174841,1669.68264166797,1756.06141321457,1878.94177080536
378,984.35,848.001356195246,900.849435221978,2529.53352538209,832.246742645729,1027.49863382253,856.369463412455
383,1393.07,1279.05092781233,1572.20950493858,1825.1631824045,1436.18645810305,1216.45295867067,1165.86292788925
385,510.21,531.477650407902,695.520280824138,686.555791247606,646.003933921554,617.31130907637,450.576455969344
417,2892.39,2458.64361457302,2388.72253033318,2418.0164288064,2804.19532202501,2201.86365956725,3589.01840280351
447,1282.73,806.557099601866,995.451727335214,1967.90269317152,1112.640523122,950.758027425351,923.161323595271
473,2041.98,1980.65520075129,1636.40347291315,1761.16050580542,1676.19724567495,1943.56333243727,1330.08472518657
474,1656.44,1902.76924829849,1677.38050113065,2447.4774261034,1559.39210999782,1734.72233131627,1862.09772695256
479,2911.07,2546.27452440826,2015.82683578717,2488.8669537012,2206.75338742816,2404.99836773709,5079.65402240091
485,2600.58,2198.86289195404,2296.59875343888,2611.5324182386,2222.01941094583,2556.61809977106,2149.32515727487
509,2293.76,2125.74873474415,2575.61703122443,1766.0092259542,2424.17439841609,1738.08814670844,1584.58866367107
517,1101.56,950.153859636179,1166.77348901641,1384.96907369823,1223.92061730958,1018.93998606846,1072.85544721543
520,1859.55,1421.17378140484,1256.89115716788,1368.09223219367,1420.32963786618,1552.98904805695,1312.13086700944
546,1820.77,2200.19597543694,1925.67505363461,1548.29968681742,1592.07993177323,2049.95552263449,1963.20471834609
561,1412.33,1901.4427674674,1712.96412111783,1570.8566404453,1188.67550029451,1405.48517404743,1041.80047534257
570,1728.65,1650.03542055424,1072.70815798757,9177.98025233242,1762.81796719576,1446.08251168083,1741.48112861142
577,2330.02,1811.52941176404,1872.79707271104,3161.06068522969,2010.47047996183,1587.78690100919,1524.11381202771
585,1667.09,1318.28350081693,1552.36752456346,1656.80730242871,1481.90066201488,1118.74491714497,1552.00370421735
600,2490.63,2426.51759429982,2879.27435460674,2392.03288404002,1877.4539829685,2423.36796566607,3067.80705776331
606,1791.9,1746.24053539579,1539.51320129666,2135.33780816726,1856.23961800048,1497.4256416382,1269.48908817904
618,1285.56,917.870191147655,1161.43485158879,1021.62095243433,1101.60313874892,981.938051205339,1584.8914082674
623,1308.32,741.818454032423,944.946164617263,1887.01745711942,1005.88178912423,1277.00433229101,615.351013787064
625,1661.29,1467.5664273121,1592.9139821833,1537.74297106663,2356.84978670522,1870.17685495209,1681.21929459009
629,1431.04,1328.1016759026,1459.8247372099,1770.60842034209,1691.20378552477,1561.07583748345,1187.41683267474
633,1427.34,1371.76990907411,1257.42842344879,1165.53871279088,1401.04392611482,1374.99544375229,1326.33597410928
645,2086.78,1610.72228722791,1342.93482647383,2726.48947977371,1707.67277837065,1634.11885508917,1892.29848624073
661,1154.28,930.727795820462,885.504488629638,1074.58778836639,926.664775144152,941.924202190251,954.268136120034
674,2473.45,2054.63702835988,2953.9087299366,1555.58610578488,2420.37281847493,2201.49129680571,2629.82388976403
700,1128.23,1071.00753214675,1078.72102680533,970.455339417424,1238.30664040096,999.602404332113,984.069060070584
704,1674.59,1193.12985412409,1115.96460134081,1632.97153324659,1189.78256015335,2077.71895577069,1382.23585488595
760,662.27,902.92490252888,658.660430341477,794.750091283927,700.091811210643,610.254585464369,1121.42424920987
763,2085.15,1950.55223768268,1715.33498648154,1995.706383163,1783.67361676985,1797.09317770437,2847.17368053957
772,1504.75,1564.45003858929,1748.0136050514,1739.385027059,1815.46445785707,3456.66982783556,1571.33774361017
786,777.92,508.57335716244,635.576993351274,618.832697400625,635.984527152211,522.568951440474,678.365910030209
790,1238.07,1889.99589851858,1268.82685483311,1459.40906922514,1276.51250797744,3462.79411565166,1141.86955833867
793,1574.94,1556.0951448424,1736.93924080632,1964.12403165825,1428.52677539938,1485.59601006885,1844.06314598611
801,573.32,520.733504561503,528.782707282588,373.322730479017,621.497656622618,827.195102532638,605.385776530325
811,1320.96,1235.84780925974,1162.70183674482,1436.26368254372,1242.46110431676,1016.77383156582,1797.63770275046
816,1262.46,1334.30812554072,1355.12937987666,1073.60216998616,1169.38951158411,1234.99044055006,1237.37076160884
827,276.4,345.49465049911,433.607306264749,478.552074518287,292.305469205568,317.19234127019,416.311878153982
845,1634.14,1483.79778137163,1404.77702579876,1318.39562953461,1667.47211996814,1191.90375164168,1198.21387957719
854,1969.04,1816.03994420539,1800.41549461469,2645.79435606902,1626.95949017236,1953.68695793556,1702.92910913642
861,1975.66,2025.33002407951,2353.50755167123,3573.80650421891,2219.60752894473,2502.22993931029,2176.07716617095
866,1502.28,1715.6370123098,1612.11395932287,2123.18131882,1883.49978744436,1588.46688703118,10647.8287971911
902,705.89,660.347242770178,851.563215043984,1078.48297483521,932.059914530857,849.563970731581,623.655991951425
930,114.73,98.9684205332151,117.575628672112,114.048876268657,109.439024552459,111.156404214002,102.761605451339
934,3249.15,1846.73812472051,1602.15055685646,1837.91923432874,1705.39224236652,2312.49817790197,1868.85955423438
936,1448.47,1764.63269251675,1863.03280084428,1575.17827629296,1262.19733818256,1829.2396285054,2356.97690704413
946,1134.94,1262.5378441251,1649.30442213467,1107.78268148892,1443.67284265225,1316.50824188229,817.844762141471
957,756.92,782.240027669728,2231.6236212429,903.652619618023,1113.2392930631,905.276601534162,796.515680452265
959,615.11,676.100011602586,586.550960379337,676.805921516133,567.858543474583,605.266517824415,535.559549601409
971,584.58,688.225747459624,779.746944122595,581.908158112598,556.675825879364,561.058027396982,895.912646433504
981,1874.74,1950.16204538656,1848.27419537813,1885.66607878473,1911.2234994823,2029.50484990233,2000.05905946937
995,1702.54,2075.98775617234,1363.88703305794,1697.46813597961,1726.48714425473,1724.85814501453,5290.80708647594
1003,3970.5,3087.74431856882,3448.66120404804,4851.89230133858,3400.52829523396,3351.90474273808,2930.81212690918
1006,1883.02,1589.97407259529,1983.19215917712,2129.37163357671,1453.15473657109,2124.22091569029,1472.41206105556
1017,2317.36,2241.5638243069,2063.32758657608,2682.8727933244,2009.14315220491,2295.4348715012,2346.40783776253
1041,1708.07,1671.20015195832,1804.79426956679,1405.67053268688,1718.43872369949,1552.29759001669,1381.29236754148
1046,1291.53,1565.15709648759,1151.418833841,946.160725120337,1011.75290985568,975.914979102058,771.432652000819
1047,700.35,731.647842684603,488.09827108574,1613.87832226888,894.596707858325,846.202100017411,872.792387864059
1073,1112.25,1099.9338475981,1069.84457897956,1299.02171954074,1134.47736259001,1497.60844023499,1051.77106038527
1078,641.99,521.995076470083,560.711917161431,529.202294401575,565.131680779154,597.095966131495,745.733312647525
1083,969.55,1046.5493986653,975.784140945663,998.721354056054,833.8844504033,1065.15723284062,983.156059486527
1086,519.28,461.020983991069,481.075506596948,511.957137090308,508.372051359665,480.295307960544,462.460951259348
1100,1889.87,2326.67487387727,2039.56534110864,3068.19126622925,2572.14271787398,2315.78797153481,3330.08477995126
1106,1017.69,1280.24805614146,1449.96597455279,1474.94529207621,1201.20748458339,1255.69514994895,2495.10393998824
1111,2216.29,2970.65158151501,2675.13605632909,5425.63464759065,2631.65623606735,2769.32739493845,2295.68172857908
1113,1223.26,1778.12476076515,1719.59535555241,1588.21620925026,1254.9497017802,1487.40537700704,1302.37576625815
1131,1879.34,2002.33321777798,2165.28274217898,3083.88440894202,2054.21526427162,1940.33557074393,2217.35120356589
1172,410.97,274.856448377331,249.117399382655,582.935385515237,744.557599430468,350.334424606473,274.49383444642
1186,1549.79,1456.59620679047,1562.7667679264,1194.73267360118,1898.51795694824,1803.62460397684,4936.4634199899
1206,894.13,1025.38188833059,979.050365215303,771.725474355926,1061.46363082736,985.103315284763,1127.55546187541
1235,1979.05,1848.85643861407,2574.40166974583,2494.27641852859,1920.57582185812,1784.25646267422,5771.22048722367
1239,1708,1515.15282808119,921.100752012492,1070.85830343129,1098.63284911571,1257.70890062913,2067.24132989311
1241,1046.99,980.836669116871,947.557820796595,1063.0208022172,865.775280305031,1050.08351695487,918.815157528019
1258,1613.44,1782.0751611158,2350.53754214623,2316.15669611437,1772.18421299548,2122.63261500055,1771.33404493931
1296,1445.7,1409.66016743733,1381.11119801612,1158.63583927658,1756.6040097193,1143.66792078646,1630.11173788294
1303,3017.11,2905.5479526266,3110.64845212174,2840.85003612476,2982.23168099159,3036.7178859569,2566.87331349147
1315,692.5,616.229480333773,677.386027293909,711.966907932882,802.141195744616,582.0273444817,719.860962429748
1321,2481.38,1635.01984432793,2034.90404303367,1703.26111791533,2427.07303465131,2694.04145462751,2226.04118005592
1322,1333.83,1276.2267920856,1228.38245423601,1226.55085076225,1123.4337618982,1207.26275165274,1078.41826757858
1329,916.89,1131.83716116712,1184.67336288825,1579.68079016844,1168.73698974027,1016.55913283483,757.075666590874
1336,859.35,915.394828506696,856.477443554101,1007.27784724653,1116.74921937824,1275.05755948736,948.504413638606
1343,1499.77,1737.39128424689,1174.96964514301,1260.95321097845,964.84902703015,1317.05228744274,3589.19584575971
1379,1145.43,1083.91734644456,906.398091792305,1027.72952433167,895.318766744545,1016.90571066368,988.766219040792
1382,2534.8,2172.07917758928,2266.73174397248,2685.96765098166,1989.28185785296,1862.18622560347,6100.14473341418
1390,2461.82,1858.10875056456,1877.49937629973,1827.95186757147,2105.43577075121,1988.60991365293,1777.31255111315
1398,2327.63,1450.5790393478,1241.55127099221,2651.65316607318,1145.38027122879,1735.21994814711,1273.96739327359
1399,1333.03,1161.14470338361,1761.79222647218,1411.37489844238,838.581652385589,1066.26198729578,905.198017628141
1411,1352.4,1260.92782578152,1411.74009186333,1154.21334892667,1376.60911015422,1250.73494667179,1421.10635474169
1438,990.93,695.220975086788,944.615245414375,1077.66531936863,820.843845570873,764.489526142616,950.339957885075
1455,1666.96,1094.0274995664,1107.5149868798,1308.25109751746,1240.10602600122,1625.72102055764,1239.37255835558
1456,745.96,874.068404230645,844.123524918022,988.482559907686,785.329679091498,1014.36722924574,708.386582790979
1462,1940.61,1625.92059389917,1763.09386162648,1677.93821987379,1839.48743516331,1231.05764087121,1553.98421960413
1469,765.33,866.098312307077,811.805417621862,762.678086495508,838.695239205985,729.984724906801,832.058261372095
1482,158.83,175.203687716319,187.910773418406,211.162105929081,186.715168264885,145.06515151905,149.074715592168
