model,tripID,real_price,strike,premium,profit
trip-specific,23,23.7822355333333,24.220536293901,0.134506774859986,0.134506774859986
trip-specific,35,27.1121951666667,27.7534222399473,0.361860373262954,0.361860373262954
trip-specific,38,22.5237053,22.9082822754663,0.244795586222123,0.244795586222123
trip-specific,41,34.0614015,34.6450855758533,0.140251889481153,0.140251889481153
trip-specific,51,23.7368270666667,23.7384069672307,0.174045033334729,0.174045033334729
trip-specific,57,20.1059388,19.1750449792333,0.323758952526422,-0.607134868240312
trip-specific,68,15.3246665666667,15.9435020396629,0.312442322370201,0.312442322370201
trip-specific,80,53.5367156333333,55.2279852734229,0.58963787968677,0.58963787968677
trip-specific,86,7.77761146666667,7.49134032977421,0.365790533752028,0.0795193968595753
trip-specific,87,25.3376513,25.7565552053711,0.371390089963245,0.371390089963245
trip-specific,95,21.2225713,21.8124279339771,0.781818904759572,0.781818904759572
trip-specific,111,40.220959,40.4402189189885,0.424439600804836,0.424439600804836
trip-specific,118,25.0604442333333,24.023496527047,0.410062490260165,-0.626885216026162
trip-specific,120,46.6128469333334,47.3213703327419,0.320172857114441,0.320172857114441
trip-specific,131,18.9973135333333,18.9567635464308,0.607138481689805,0.566588494787304
trip-specific,133,25.2573937333333,31.2891052529548,2.02769611901108,2.02769611901108
trip-specific,137,40.6070536666667,42.515027596799,0.371879528926215,0.371879528926215
trip-specific,138,25.1054442333333,26.4099349203204,0.415836661783575,0.415836661783575
trip-specific,141,25.3719095333334,27.99267730457,0.856195329121344,0.856195329121344
trip-specific,158,36.9235518333333,38.9408023691374,0.645412102372238,0.645412102372238
trip-specific,164,55.5563021333333,52.4403032690603,0.677923643866567,-2.43807522040648
trip-specific,174,25.0552860333333,26.0899466055677,0.389700115852755,0.389700115852755
trip-specific,181,27.1436010333333,26.8013549486941,0.303296222579968,-0.0389498620592532
trip-specific,192,70.3912531333333,73.0261500135999,0.728764865414578,0.728764865414578
trip-specific,202,25.5932006666667,25.8639703586376,0.262279834621917,0.262279834621917
trip-specific,207,9.48739726666667,5.72822737057916,0.19481655088339,-3.56435334520411
trip-specific,208,30.3230326333333,30.3884019286879,0.443745848301831,0.443745848301831
trip-specific,210,11.8270386,11.6079268668138,0.301218937487381,0.0821072043012058
trip-specific,214,34.2806702,33.520760123672,0.777680598801502,0.0177705224734895
trip-specific,216,47.0485624,43.5516631889126,0.505971176422398,-2.99092803466498
trip-specific,225,14.6402050666667,14.4192098124422,0.325904560365165,0.104909306140685
trip-specific,250,32.3481268,32.5439665389726,0.355025764518137,0.355025764518137
trip-specific,256,35.8672638666667,33.3327531819862,0.404136877918148,-2.13037380676231
trip-specific,258,38.1755600666667,33.0579080610385,0.39339223305293,-4.72425977257521
trip-specific,263,14.330242,14.4016265699252,0.222122281786218,0.222122281786218
trip-specific,265,23.6675288,21.8286166526246,0.549847678407465,-1.28906446896797
trip-specific,284,17.4964220333333,16.7476756303701,0.420548155297313,-0.328198247665929
trip-specific,296,11.2168046,11.5675626164191,0.126879831863069,0.126879831863069
trip-specific,298,33.0966055666667,32.1021422657246,0.402657326128299,-0.591805974813787
trip-specific,312,23.3216810666667,21.8868340686547,0.29903967843237,-1.13580731957961
trip-specific,347,32.7053238,31.7674626226232,0.744455194731338,-0.1934059826455
trip-specific,350,17.4595856333333,16.654472609967,0.271375387959017,-0.533737635407357
trip-specific,352,34.0688798333333,34.391162486144,0.412440215310719,0.412440215310719
trip-specific,377,40.6634672333333,41.3881904073802,2.59565783033987,2.59565783033987
trip-specific,378,21.0466047333333,20.2917969685261,0.251249232413074,-0.503558532394187
trip-specific,383,27.0432746333333,27.0392955842675,0.352080850430852,0.348101801365022
trip-specific,385,12.6958379,12.9795371578702,0.270417138666176,0.270417138666176
trip-specific,417,47.2355634,45.8198023594784,0.564656377530144,-0.851104662991429
trip-specific,447,21.1271711333333,19.9548538429003,0.375607503759985,-0.796709786673008
trip-specific,473,46.346274,45.7442667483259,0.42440511931062,-0.177602132363525
trip-specific,474,43.2384235333333,43.308312296512,0.410993475080281,0.410993475080281
trip-specific,479,48.9145755333334,46.3901210307217,0.60087640451845,-1.92357809809317
trip-specific,485,47.7206674,46.4731285003793,0.410550523021595,-0.836988376599141
trip-specific,509,46.8822345333333,44.7396635111944,0.447562220573632,-1.69500880156526
trip-specific,517,26.2309478333333,26.317859982283,0.265576228091205,0.265576228091205
trip-specific,520,36.6364842,35.2423118950486,0.42460423350989,-0.969568071441521
trip-specific,546,28.9984191666667,29.0344204664114,0.53006543037907,0.53006543037907
trip-specific,561,31.8040736333333,31.9489200093025,0.514688077877366,0.514688077877366
trip-specific,570,27.0935160333333,26.2083457664302,0.694177915291216,-0.190992351611908
trip-specific,577,44.0128097666667,41.7771284668091,0.485073089764256,-1.75060821009333
trip-specific,585,24.0904212333333,23.4892099383381,0.712709651136426,0.111498356141159
trip-specific,600,44.8868334,44.5128485443116,0.632245723334359,0.258260867645982
trip-specific,606,34.130633,33.9550316499804,0.424889522394906,0.249288172375336
trip-specific,618,24.224507,23.0780672726387,0.21212147880732,-0.93431824855402
trip-specific,623,22.1528143333333,20.9757338964273,0.336936641528938,-0.840143795377101
trip-specific,625,28.1238213666667,28.2810195428073,0.380991131377193,0.380991131377193
trip-specific,629,26.2372642666667,26.6383084201397,0.346437300062367,0.346437300062367
trip-specific,633,25.6322053,25.1268736003475,0.402970177202148,-0.102361522450332
trip-specific,645,34.1071282666667,31.7134766414254,0.455938403570403,-1.93771322167089
trip-specific,661,31.0784062,30.0682984664103,0.310255302094264,-0.699852431495456
trip-specific,674,44.1653565666667,42.9424404046154,0.666604099421571,-0.556312062629685
trip-specific,700,21.0822688333333,20.4162134281805,0.180159319328286,-0.485896085824557
trip-specific,704,19.7124176333333,17.8707131553912,0.461636522528795,-1.38006795541334
trip-specific,760,11.9325047333333,12.5099143228221,0.301721928875286,0.301721928875286
trip-specific,763,33.4994965,32.2109200065614,0.408954207360478,-0.879622286078105
trip-specific,772,37.9034350666667,39.0349360816429,0.434657447882595,0.434657447882595
trip-specific,786,15.2939126333333,14.6064713812309,0.207969547651187,-0.479471704451259
trip-specific,790,28.8364204,28.7184146425273,0.432495856598244,0.3144900991255
trip-specific,793,34.9665034,35.0945033479325,0.467495088173808,0.467495088173808
trip-specific,801,9.86849883333333,9.66999910655611,0.219345942536575,0.0208462157593555
trip-specific,811,21.1019491,20.5293022766119,0.250380414393458,-0.322266408994632
trip-specific,816,29.1090535,29.888814168785,0.288219742896619,0.288219742896619
trip-specific,827,7.39213016666667,7.55842296590871,0.111972558646837,0.111972558646837
trip-specific,845,22.1951117666667,22.0083847951147,0.459348693896336,0.272621722344406
trip-specific,854,32.6118972333333,31.6901890215753,0.437679023003479,-0.48402918875459
trip-specific,861,36.4901814666667,37.5022982447251,0.361727940262961,0.361727940262961
trip-specific,866,33.6348893,34.6652371002345,0.335980619225381,0.335980619225381
trip-specific,902,15.4922469333333,16.228790696286,0.292801453555717,0.292801453555717
trip-specific,930,4.68465606666667,4.71073233555878,0.231661885822781,0.231661885822781
trip-specific,934,41.5647423,34.6418122128057,0.374243643208461,-6.54868644398584
trip-specific,936,27.8545805666667,30.2403891951576,1.04341498208756,1.04341498208756
trip-specific,946,20.5828321666667,21.9065621108659,0.601715856741715,0.601715856741715
trip-specific,957,16.8457443333333,18.1222011244295,0.988971154764351,0.988971154764351
trip-specific,959,13.3933664333333,13.5762199205354,0.319956962829539,0.319956962829539
trip-specific,971,14.5993063,14.9431085476551,0.182048797346361,0.182048797346361
trip-specific,981,49.9874485666667,50.1288031451608,0.530588048619619,0.530588048619619
trip-specific,995,25.7789249666667,25.8843019407009,0.350875277259626,0.350875277259626
trip-specific,1003,85.2019158,82.7613140268579,0.47923645534196,-1.96136531780017
trip-specific,1006,30.3594334666667,31.1827096800794,1.29747430356136,1.29747430356136
trip-specific,1017,49.3195726666667,48.4440769171203,0.497635394331128,-0.377860355215246
trip-specific,1041,41.6825615333333,43.5827314223571,1.33602884295693,1.33602884295693
trip-specific,1046,21.8603404,20.8957020016819,0.377177282531413,-0.587461115786663
trip-specific,1047,14.0594949,13.3777949793854,0.258473150158593,-0.423226770456028
trip-specific,1073,26.1332848,25.8805655976009,0.466645592607573,0.213926390208474
trip-specific,1078,14.2231143333333,13.7035661956073,0.26297411077698,-0.256574026949075
trip-specific,1083,24.1512897666667,23.7137407573092,0.392502296015527,-0.0450467133419453
trip-specific,1086,9.72277116666667,9.80552378606338,0.72557613521556,0.72557613521556
trip-specific,1100,47.3489765333333,50.8147186143342,0.57361095979561,0.57361095979561
trip-specific,1106,21.4958994,23.9689331170692,0.494130508356021,0.494130508356021
trip-specific,1111,60.3482008666667,63.4958278243522,0.486273562161092,0.486273562161092
trip-specific,1113,24.1573641666667,25.7433082393832,0.50705955361038,0.50705955361038
trip-specific,1131,53.0822969333333,54.3008746489644,0.373626206773439,0.373626206773439
trip-specific,1172,8.5571077,8.60117370289051,0.233924263705721,0.233924263705721
trip-specific,1186,24.6833440333333,25.4777727564016,0.363674030257314,0.363674030257314
trip-specific,1206,29.9660622666667,30.3028557354663,0.149977754653641,0.149977754653641
trip-specific,1235,31.6559350666667,30.9521670315848,0.468602543380899,-0.235165491700959
trip-specific,1239,21.8051202666667,19.2104005188937,0.338149154319751,-2.25657059345321
trip-specific,1241,22.7716302333333,22.5529034620065,0.300403401543239,0.0816766302163782
trip-specific,1258,35.6604200666667,37.5027031314889,0.396276045863803,0.396276045863803
trip-specific,1296,26.486965,25.8074140071021,0.395729969968702,-0.283821022929218
trip-specific,1303,87.5463115666667,87.288347634785,0.225775620297857,-0.0321883115838333
trip-specific,1315,11.2763017666667,11.066974003254,0.32321758563982,0.113889822227134
trip-specific,1321,37.5069217333333,35.6246117375117,0.610338208540369,-1.27197178728127
trip-specific,1322,25.9703122,25.3815029794324,0.388966532546194,-0.199842688021386
trip-specific,1329,17.2915794,18.1724017620624,0.264268393223239,0.264268393223239
