"trip","sampled_time","non_dependent_time","dependent_time","population_time","first_order_time","second_order_time","HMM"
12693,2753.23900008202,1083.04867842851,1022.09132500072,1026.37300142916,984.550840601555,1350.60999625137,1252.89178449652
4234,1274.33899998665,1092.01302033244,1029.83916259295,1086.71167574289,1173.36185567297,1021.82534135092,1360.15942674561
12063,2706.63800001144,1092.00974250486,1137.20079763574,1080.98316784061,1092.40358632265,1111.56001276912,1769.53506024103
10842,1387.25999999046,751.589477413314,777.198742016133,659.25422709959,717.553475454722,695.466867749597,882.936801913316
15589,360.996999979019,259.003415870054,317.881984289164,199.88321271525,284.203605515712,354.153019255908,303.078861690047
6898,540,1454.9233867803,1477.68795424214,1411.87917540923,1402.98676989336,1579.4085320976,2081.74871755465
936,1484.02600002289,1341.14139218863,1614.96316326671,1229.76958168409,2081.29321458758,1451.16179746159,629.638170418497
6600,1759,2212.00564386691,2392.31972018878,1982.80215290474,2253.20045017543,2486.44277573739,2736.62478410819
1651,1689,1880.01029732711,1681.46762814022,981.992793829168,1661.6625853864,1537.27945561151,1394.4143885814
7542,1812.92199993134,3158.88513950162,2411.79157656327,3624.31830269787,2834.4313074939,2591.47805268207,3508.47457646897
7962,1906,1574.42168381812,1310.49502131429,1184.67012237495,1344.48308002851,1221.08621586303,1907.61317024606
9822,1463,139.100129664004,174.848145433388,119.199892661229,147.573789459985,117.95392536105,170.589628467973
10293,904,1477.64967346701,1693.03778365015,1968.06760435498,1443.22329426965,1598.73313595154,2170.08237196466
14644,1612.70499992371,1910.21460226342,1930.525891966,1972.63556677608,1901.08121675824,2071.14542136416,2974.92560529658
14851,2401,2154.88135816239,2187.68866924267,2845.82332798903,2446.22224506283,1979.39283155765,2139.30405517071
16306,1222,643.706987036685,631.860611509406,1011.48785673602,871.334000971927,990.103589272196,638.36281912138
19773,984.03200006485,1629.72402826781,1912.4609233703,2832.56967637404,1765.76395564627,1496.42692904518,1365.13120891974
19794,970.118999958038,581.505661235637,445.632968677144,647.377546652857,777.524403584046,640.548698185404,896.281533191155
485,2589.0720000267,1092.76354134994,955.544339384258,1268.35663883421,1270.56627402079,885.262817118609,740.115551765345
520,1690.10100007057,1816.5057678665,1748.27658092017,2209.81244509308,1493.05577678459,1452.49402380951,1183.26581656919
674,2466.62299990654,1169.60603308578,1388.66945100203,1362.93129883814,1779.8554413311,1168.77112202601,842.661218269489
2067,1428,1718.61597090504,1696.33652153304,1777.98514216294,1676.20853593293,1844.53322825997,2354.32142144273
2624,1210.00699996948,1250.77644701525,1566.53210854014,1464.01114155421,1542.83872272607,1309.21302169525,1690.0583268959
3183,759,2412.93558817783,2438.42321087604,3305.38716529261,2549.09871146724,2364.23858350489,2108.58170567951
4389,1999,1810.90684533059,1665.29879738433,1883.75308364859,1566.69939792105,1538.52558597646,3780.21182608482
8139,2769,2236.81562883544,2195.02154629741,949.510587814503,2467.88811666193,2447.81908624516,2293.6506189325
12857,1739,2686.32123028257,2315.43453353175,2934.4218236339,2585.95607376681,1948.75781909174,3061.10462456032
