"tripID","start_time","end_time","duration","distance","real_price","payment_trip_specific","payment_population","profit_trip_specific","profit_population"
18321,2014-05-14 07:15:48.377,2014-05-14 07:32:00.236,978.18,11685.39,18.740781,20.0756299701786,23.6987158588719,1.33484897017862,4.95793485887194
18342,2014-05-14 07:50:33,2014-05-14 07:53:40,191.77,2144.791,6.09112356666667,5.87829553796707,6.15570372633089,-0.212828028699596,0.0645801596642182
18352,2014-05-13 07:24:17.694,2014-05-13 08:06:15.147,2589.47,20946.453,35.4007360333333,34.6729800646935,33.1349457390343,-0.727755968639833,-2.265790294299
18354,2014-05-12 07:25:24.368,2014-05-12 07:58:16.196,1978.22,17439.215,29.0860968333333,29.0194584679754,29.3363624925298,-0.0666383653579565,0.250265659196451
18367,2014-05-14 08:06:14.857,2014-05-14 08:40:19.142,2083.79,26337.818,37.6402845333333,37.8791562055922,38.7198991239309,0.238871672258909,1.07961459059757
18375,2014-05-13 17:47:40.545,2014-05-13 17:57:08.558,668.33,8874.262,14.6098741333333,15.5780198672664,15.1273305298327,0.968145733933088,0.517456396499371
18400,2014-05-14 15:56:00,2014-05-14 16:05:33,588.97,10235.432,15.4249004666667,15.7531271392496,17.3887895239013,0.328226672582961,1.96388905723468
18401,2014-05-14 15:46:51,2014-05-14 16:03:34,1055.17,10100.442,17.7121094666667,18.7339828008593,18.947473783731,1.02187333419261,1.23536431706435
18409,2014-05-13 16:06:38.234,2014-05-13 16:16:13.236,586.21,4637.509,10.3725097666667,10.9313521851894,11.9748237617804,0.558842418522724,1.60231399511378
18414,2014-05-14 16:29:32,2014-05-14 16:43:42,864,6520.277,13.5022493,13.4782790180504,13.7633754842226,-0.0239702819496195,0.261126184222624
18448,2014-05-14 17:09:34.581,2014-05-14 17:44:13.14,2086.86,32057.949,42.8042641,44.526475744198,42.4932230925298,1.72221164419802,-0.311041007470202
18459,2014-05-14 17:52:22,2014-05-14 17:55:14,202.72,1466.003,5.53678936666667,5.58403965284097,5.84876398776035,0.0472502861743047,0.311974621093681
18477,2014-05-13 16:15:42,2014-05-13 16:31:36,1630.27,3615.265,14.8468001666667,15.7910202392601,8.47557375665835,0.944220072593446,-6.37122641000831
18486,2014-05-14 08:00:42.108,2014-05-14 08:32:45.099,2021.75,19803.541,31.4388952333333,30.1810935743163,29.9007365283772,-1.2578016590171,-1.5381587049562
18487,2014-05-15 07:04:20,2014-05-15 07:20:11,967.92,20519.822,26.6387598,27.2999831261318,29.5299037497356,0.661223326131822,2.89114394973556
18502,2014-05-15 07:51:54,2014-05-15 07:54:23,181.75,1694.249,5.63386576666667,5.69165674409601,5.43853467367511,0.0577909774293461,-0.195331092991553
18512,2014-05-03 15:18:22,2014-05-03 15:46:11,1677.83,35509.966,43.7977577333333,44.1535175329528,48.5285495804681,0.355759799619442,4.7307918471348
18514,2014-05-15 07:45:28,2014-05-15 08:13:15,1688.97,14630.037,25.0633783,24.5701366240517,25.3367391767018,-0.493241675948301,0.273360876701769
