model,strike,h,lambda,k,u,n_members,mean_profit,se_profit,mean_loss_ratio,se_loss_ratio,pooled_loss_ratio,median_loss_ratio
population,0.9,8,0,0,0,100,81.6734366015615,3.2041127306192,0,0,0,0
population,0.9,8,0,1,0.0333333333333333,100,79.2645939520486,3.13466934042972,0.030133118416647,0.00446666259412175,0.0294935875083148,0.0168336310510787
population,0.9,8,0,2,0.0666666666666667,100,77.3913614261345,3.12205615964328,0.0545759915848459,0.00748267797960006,0.0524292273425056,0.0341457002856048
population,0.9,8,0,3,0.1,100,75.4176328865512,3.11021205623229,0.0794327573233061,0.0103690565688156,0.0765953286076217,0.0506414297448765
population,0.9,8,0,4,0.133333333333333,100,73.383717350768,3.12970285026596,0.105641432880563,0.0128492533693741,0.101498352410886,0.0739172833853991
population,0.9,8,0,5,0.166666666666667,100,71.5263815776931,3.16149126019393,0.129951807913001,0.0155822369163152,0.124239354263617,0.0874646856194971
population,0.9,8,0,6,0.2,100,69.7695831814578,3.21082718527296,0.153590299644585,0.0184812353535154,0.145749388239605,0.106695291993122
population,0.9,8,0,7,0.233333333333333,100,67.5587042762545,3.29452593913954,0.183643958483928,0.0216216132562977,0.172819130829094,0.132983774622027
population,0.9,8,0,8,0.266666666666667,100,65.6139993248262,3.34355204579886,0.208303464458779,0.023961905271055,0.196629870677295,0.155082027209433
population,0.9,8,0,9,0.3,100,63.8660730520256,3.44000931768887,0.231188602276426,0.0272750295552084,0.2180312754122,0.171019904209252
population,0.9,8,0,10,0.333333333333333,100,62.0653550543677,3.54855982802356,0.25507165997293,0.0301939271721572,0.24007905584836,0.18545920780139
population,0.9,8,0,11,0.366666666666667,100,60.0280492650808,3.66965816183004,0.282687678675526,0.0333822412108373,0.265023589518785,0.216009364876636
population,0.9,8,0,12,0.4,100,57.8605224686436,3.79219547915066,0.310629924579715,0.0366745547422536,0.291562533961778,0.232845699955359
population,0.9,8,0,13,0.433333333333333,100,55.8737430054045,3.90483678165573,0.336538092222289,0.0393957274225228,0.315888429208864,0.248311509389592
population,0.9,8,0,14,0.466666666666667,100,53.8516879112926,4.03144805806323,0.361570458421349,0.0424266642689799,0.340646235152263,0.264917421153306
population,0.9,8,0,15,0.5,100,51.958160019749,4.16972614157626,0.386328761808631,0.0452728086185547,0.363830369068178,0.281213197404414
population,0.9,8,0,16,0.533333333333333,100,49.6955777418624,4.30352687822168,0.414923255669056,0.0482818479700252,0.391533161702268,0.295716170588998
population,0.9,8,0,17,0.566666666666667,100,47.9025547438523,4.44738367177614,0.438407195751586,0.0510689282920599,0.413486725463241,0.310638990432478
